propeller_name,blade_name,propeller_brand,number_of_blades,propeller_diameter,propeller_pitch,single_blade_area,total_blade_area,disc_radius,disc_area,solidity
ma 11.0x9.0 - 2,ma 11.0x9.0,ma,2,11.0,9.0,,,5.5,95.03317777109125,
ma 9.0x8.0 - 2,ma 9.0x8.0,ma,2,9.0,8.0,,,4.5,63.61725123519331,
magf 11.0x4.0 - 2,magf 11.0x4.0,magf,2,11.0,4.0,,,5.5,95.03317777109125,
magf 11.0x5.0 - 2,magf 11.0x5.0,magf,2,11.0,5.0,,,5.5,95.03317777109125,
magf 11.0x8.0 - 2,magf 11.0x8.0,magf,2,11.0,8.0,,,5.5,95.03317777109125,
magf 7.0x4.0 - 2,magf 7.0x4.0,magf,2,7.0,4.0,,,3.5,38.48451000647496,
magf 8.0x4.0 - 2,magf 8.0x4.0,magf,2,8.0,4.0,,,4.0,50.26548245743669,
magf 9.0x4.0 - 2,magf 9.0x4.0,magf,2,9.0,4.0,,,4.5,63.61725123519331,
magf 9.0x5.0 - 2,magf 9.0x5.0,magf,2,9.0,5.0,,,4.5,63.61725123519331,
magf 9.0x7.0 - 2,magf 9.0x7.0,magf,2,9.0,7.0,,,4.5,63.61725123519331,
mas 9.0x6.0 - 2,mas 9.0x6.0,mas,2,9.0,6.0,,,4.5,63.61725123519331,
pl 9x7.72 - 2,pl 9x7.72,pl,2,9.0,7.718261945,,,4.5,63.61725123519331,
rusp 11.0x4.0 - 2,rusp 11.0x4.0,rusp,2,11.0,4.0,,,5.5,95.03317777109125,
zin 11.0x7.0 - 2,zin 11.0x7.0,zin,2,11.0,7.0,,,5.5,95.03317777109125,
zin 9.0x6.0 - 2,zin 9.0x6.0,zin,2,9.0,6.0,,,4.5,63.61725123519331,
nr640 5x3.16 - 3,nr640 5x3.16,nr640,3,5.0,3.156702054,0.5374374999999999,1.6123124999999998,2.5,19.634954084936208,0.08211440133883247
nr640 9x5.68 - 3,nr640 9x5.68,nr640,3,9.0,5.682063698,1.7412975,5.2238925,4.5,63.61725123519331,0.08211440133883248
nr640 9x7.72 - 3,nr640 9x7.72,nr640,3,9.0,7.718261945,1.7412975,5.2238925,4.5,63.61725123519331,0.08211440133883248
da4022 9.0x6.75 - 3,da4022 9.0x6.75,da4022,3,9.0,6.75,3.6367481250000004,10.910244375000001,4.5,63.61725123519331,0.1714982047033873
da4022 5.0x3.75 - 3,da4022 5.0x3.75,da4022,3,5.0,3.75,1.1263281249999997,3.378984374999999,2.5,19.634954084936208,0.17209026109168907
da4052 5.0x3.75 - 3,da4052 5.0x3.75,da4052,3,5.0,3.75,1.20309375,3.6092812500000004,2.5,19.634954084936208,0.18381918462284638
da4052 9.0x6.75 - 3,da4052 9.0x6.75,da4052,3,9.0,6.75,3.945763125,11.837289375000001,4.5,63.61725123519331,0.18607043129288126
nr640 5x3.16 - 4,nr640 5x3.16,nr640,4,5.0,3.156702054,0.5374374999999999,2.1497499999999996,2.5,19.634954084936208,0.10948586845177662
nr640 5x4.29 - 4,nr640 5x4.29,nr640,4,5.0,4.287923303,0.5374374999999999,2.1497499999999996,2.5,19.634954084936208,0.10948586845177662
nr640 9x5.68 - 4,nr640 9x5.68,nr640,4,9.0,5.682063698,1.7412975,6.96519,4.5,63.61725123519331,0.10948586845177664
nr640 9x7.72 - 4,nr640 9x7.72,nr640,4,9.0,7.718261945,1.7412975,6.96519,4.5,63.61725123519331,0.10948586845177664
da4022 9.0x6.75 - 4,da4022 9.0x6.75,da4022,4,9.0,6.75,3.6367481250000004,14.546992500000002,4.5,63.61725123519331,0.22866427293784974
da4022 5.0x3.75 - 4,da4022 5.0x3.75,da4022,4,5.0,3.75,1.1263281249999997,4.505312499999999,2.5,19.634954084936208,0.22945368145558545
da4052 5.0x3.75 - 4,da4052 5.0x3.75,da4052,4,5.0,3.75,1.20309375,4.812375,2.5,19.634954084936208,0.24509224616379516
